,meshL_x,meshL_y,meshR_x,meshR_y,ref_x,ref_y,ref_z,disp01_x,disp01_y,disp01_z,disp01
595,578.0,480.0,631.60944,484.95593,-5.1486716,-4.5627966,35.906265,-0.31031418,-0.2636156,1.1583481,1.2278267
596,598.0,480.0,647.92065,483.6398,-5.0018244,-4.567452,35.94294,-0.31064177,-0.2639184,1.1589546,1.2285466
597,618.0,480.0,664.311,482.3269,-4.8546767,-4.5720763,35.979683,-0.31099463,-0.2640047,1.1598053,1.229457
598,638.0,480.0,680.7772,481.0183,-4.7072215,-4.5766597,36.016438,-0.31137848,-0.26410437,1.1606522,1.2303743
599,659.0,480.0,698.15155,479.61154,-4.552062,-4.5815845,36.055088,-0.31176805,-0.26422024,1.1615639,1.2313579
600,679.0,480.0,714.78906,478.2761,-4.403994,-4.58625,36.092068,-0.31204176,-0.26428366,1.16222,1.2320597
601,699.0,480.0,731.5125,476.94128,-4.25563,-4.5909023,36.129177,-0.31236362,-0.26433468,1.1628723,1.2327676
602,720.0,480.0,749.15076,475.5177,-4.0994997,-4.5958414,36.168087,-0.3127613,-0.26444054,1.1637383,1.2337079
603,740.0,480.0,766.02936,474.15155,-3.9504836,-4.600561,36.205143,-0.31305575,-0.2645135,1.1644592,1.2344782
604,760.0,480.0,782.9927,472.79166,-3.8011649,-4.6052384,36.242294,-0.31332183,-0.26458406,1.1650581,1.2351258
605,780.0,480.0,800.0283,471.42236,-3.651522,-4.609917,36.27935,-0.3136289,-0.26465464,1.1657829,1.2359025
606,801.0,480.0,818.02484,469.96674,-3.494089,-4.61491,36.31858,-0.3139429,-0.26473045,1.1664848,1.2366606
607,821.0,480.0,835.2403,468.5884,-3.343823,-4.619596,36.355858,-0.31426764,-0.2648325,1.1671486,1.2373909
608,841.0,480.0,852.5591,467.18344,-3.1932654,-4.6243973,36.393444,-0.3145256,-0.26489258,1.1676445,1.2379371
609,861.0,480.0,869.9643,465.7814,-3.042397,-4.629167,36.431095,-0.31477952,-0.26491308,1.1681633,1.2384953
610,882.0,480.0,888.3227,464.30667,-2.8836372,-4.6341476,36.47056,-0.3150909,-0.2649927,1.1688461,1.2392355
611,902.0,480.0,905.9114,462.8791,-2.7321289,-4.6389866,36.50841,-0.31531715,-0.26505613,1.1693916,1.2398212
612,922.0,480.0,923.58093,461.44464,-2.5802977,-4.6438203,36.546227,-0.31553912,-0.2651229,1.1699066,1.2403777
613,943.0,480.0,942.2301,459.9235,-2.4205344,-4.6489344,36.58601,-0.3157506,-0.26517677,1.1703415,1.2408531
614,963.0,480.0,960.0976,458.46857,-2.268067,-4.653831,36.624165,-0.31591678,-0.26522446,1.1707115,1.2412546
615,983.0,480.0,978.049,457.03687,-2.1152802,-4.6586046,36.6623,-0.31614804,-0.26526165,1.1712418,1.2418215
616,1003.0,480.0,996.08417,455.56317,-1.9621633,-4.6635127,36.7004,-0.31640828,-0.26526976,1.1717148,1.2423356
617,1024.0,480.0,1015.1118,454.01422,-1.8010427,-4.6686363,36.740368,-0.31662357,-0.26530647,1.1720734,1.2427365
618,1044.0,480.0,1033.3497,452.55096,-1.6472837,-4.6734815,36.778793,-0.31676912,-0.26535654,1.1723671,1.2430613
619,1064.0,480.0,1051.6919,451.05664,-1.4932045,-4.6784453,36.817436,-0.31689143,-0.2653737,1.1726646,1.2433767
620,1084.0,480.0,1070.1093,449.54666,-1.33879,-4.683419,36.855896,-0.31704783,-0.26538324,1.1730042,1.2437389
621,1105.0,480.0,1089.5544,447.9699,-1.1763119,-4.688592,36.896416,-0.317217,-0.26537228,1.1732254,1.2439883
622,1125.0,480.0,1108.1897,446.453,-1.0212436,-4.6935844,36.935318,-0.31742454,-0.26539326,1.1735153,1.2443192
623,1145.0,480.0,1126.9081,444.93707,-0.86584485,-4.6985307,36.974117,-0.3175851,-0.26546574,1.1738052,1.2446489
624,1165.0,480.0,1145.7091,443.42316,-0.7101169,-4.7034245,37.01279,-0.3177144,-0.26547432,1.1740036,1.2448709
625,1186.0,480.0,1165.5778,441.80328,-0.54625237,-4.7086916,37.05377,-0.3178754,-0.2654705,1.1741982,1.2450945
626,1206.0,480.0,1184.597,440.25452,-0.38985282,-4.713702,37.09281,-0.31796288,-0.2654686,1.1742973,1.24521
627,1226.0,480.0,1203.7155,438.7029,-0.23312408,-4.7187004,37.13192,-0.31803864,-0.26546717,1.1744118,1.2453371
628,1247.0,480.0,1223.8999,437.06897,-0.0682035,-4.7239456,37.17309,-0.31818292,-0.26546335,1.1745377,1.2454919
629,1267.0,480.0,1243.2301,435.5053,0.08920399,-4.7289524,37.212418,-0.31822604,-0.26542187,1.174469,1.2454292
630,1287.0,480.0,1262.6858,433.9223,0.24694854,-4.7340474,37.25213,-0.31825557,-0.26541233,1.1743965,1.2453663
631,1307.0,480.0,1282.2461,432.33658,0.4050293,-4.7391324,37.29193,-0.3183416,-0.26540184,1.1744461,1.2454329
632,1328.0,480.0,1302.9053,430.66675,0.57137895,-4.744479,37.333927,-0.3183939,-0.26536608,1.1744347,1.2454278
633,1348.0,480.0,1322.6842,429.05972,0.7301561,-4.749606,37.373947,-0.31840655,-0.26533604,1.1742668,1.2452664
634,1368.0,480.0,1342.7196,427.53815,0.8893045,-4.7546105,37.41603,-0.31847292,-0.26533175,1.1740189,1.2450488
635,1388.0,480.0,1363.504,427.25003,1.0488408,-4.7558274,37.466606,-0.31924653,-0.26658392,1.1788826,1.2500998
636,1591.0,480.0,1571.7388,408.88647,2.6868196,-4.8125095,37.866856,-0.31827164,-0.2646222,1.1704674,1.2414974
637,1611.0,480.0,1592.9686,407.219,2.8501372,-4.817531,37.907772,-0.318197,-0.26450062,1.170021,1.2410315
638,1632.0,480.0,1615.3899,405.41333,3.0220108,-4.822989,37.95086,-0.31812358,-0.26435804,1.169445,1.2404392
639,1652.0,480.0,1636.8706,403.66876,3.186071,-4.828262,37.992054,-0.31806755,-0.26422167,1.1687965,1.2397844
640,1672.0,480.0,1658.475,401.93222,3.3504882,-4.8334837,38.03337,-0.31799054,-0.2641716,1.1681786,1.2391714
641,1692.0,480.0,1680.225,400.19598,3.51529,-4.838715,38.07509,-0.31794405,-0.26406336,1.167553,1.2385466
642,1713.0,480.0,1703.2172,398.35025,3.6887517,-4.8442993,38.11928,-0.31783152,-0.26390648,1.1667175,1.2376968
643,1733.0,480.0,1725.2424,396.58417,3.8543282,-4.849623,38.16147,-0.31771827,-0.26380157,1.1660042,1.2369729
644,1753.0,480.0,1746.9009,395.0453,4.0195813,-4.853353,38.19753,-0.31788468,-0.26402807,1.1663818,1.23742
645,1834.0,480.0,1825.462,379.8783,4.6776004,-4.886057,38.21369,-0.32162333,-0.26739597,1.1808662,1.2527518
646,456.0,501.0,535.9322,511.78308,-6.0430617,-4.3805614,35.71432,-0.30787182,-0.2634902,1.1529503,1.222091
647,476.0,501.0,551.7773,510.68494,-5.8979306,-4.3844533,35.75061,-0.30829334,-0.26345634,1.153862,1.2230501
648,517.0,501.0,584.65656,508.06992,-5.5997844,-4.3941364,35.827477,-0.30861187,-0.2615018,1.1518173,1.2207816
649,537.0,501.0,600.82477,506.8101,-5.4539084,-4.398789,35.865246,-0.3095789,-0.26378155,1.156765,1.226183
650,557.0,501.0,616.92993,505.61102,-5.3074403,-4.4029527,35.901104,-0.30995083,-0.26385403,1.1575966,1.2270771
651,578.0,501.0,633.99316,504.29147,-5.1534634,-4.407664,35.9398,-0.31049967,-0.26413298,1.1594696,1.2290428
652,598.0,501.0,650.3139,503.03622,-5.0064898,-4.4121118,35.97657,-0.31073618,-0.2640667,1.1592789,1.2289084
653,618.0,501.0,666.7235,501.77414,-4.859231,-4.416585,36.013546,-0.31108713,-0.26415253,1.1600571,1.2297497
654,638.0,501.0,683.1938,500.49127,-4.7116323,-4.421097,36.050323,-0.31151056,-0.26427698,1.1609726,1.2307471
655,659.0,501.0,700.5663,499.14484,-4.556314,-4.425801,36.0889,-0.3118782,-0.26439667,1.1618805,1.2317224
656,679.0,501.0,717.205,497.8579,-4.408101,-4.4302983,36.125862,-0.31218243,-0.26446533,1.1626091,1.2325014
657,699.0,501.0,733.93713,496.5652,-4.2596025,-4.4348207,36.163055,-0.3125124,-0.26452398,1.1632957,1.2332453
658,720.0,501.0,751.5787,495.19516,-4.103323,-4.439577,36.201965,-0.3129058,-0.26461744,1.1641273,1.2341495
659,740.0,501.0,768.4627,493.87497,-3.9541664,-4.4441476,36.23906,-0.3132205,-0.2646823,1.1648483,1.2349232
660,760.0,501.0,785.44745,492.5631,-3.8047307,-4.4486938,36.276463,-0.31346917,-0.26475143,1.165451,1.2355696
661,780.0,501.0,802.4854,491.24008,-3.654942,-4.453219,36.31351,-0.31377983,-0.26483297,1.1661339,1.23631
662,801.0,501.0,820.4904,489.8414,-3.497365,-4.4580264,36.352818,-0.31408262,-0.2649083,1.166893,1.2371191
663,821.0,501.0,837.72833,488.5056,-3.3469777,-4.462606,36.39036,-0.3143711,-0.26496315,1.1675262,1.2378013
664,841.0,501.0,855.041,487.1485,-3.1962628,-4.4672356,36.427822,-0.31461215,-0.26501656,1.167984,1.2383058
665,861.0,501.0,872.4421,485.79202,-3.04524,-4.471846,36.465378,-0.3149171,-0.26506948,1.1685791,1.238956
666,882.0,501.0,890.81805,484.37195,-2.8863435,-4.4766674,36.50504,-0.3152349,-0.265141,1.169281,1.239714
667,902.0,501.0,908.42145,482.99466,-2.7347012,-4.481358,36.54305,-0.3154776,-0.26521826,1.1698341,1.240314
668,922.0,501.0,926.1075,481.6069,-2.5827358,-4.4860625,36.581047,-0.31568718,-0.26527882,1.1702576,1.2407796
669,943.0,501.0,944.7726,480.15442,-2.4228313,-4.49096,36.621002,-0.31586194,-0.26533127,1.1706924,1.2412455
670,963.0,501.0,962.63007,478.75552,-2.2702053,-4.4956503,36.658978,-0.31602025,-0.26537323,1.1710968,1.2416761
671,983.0,501.0,980.5814,477.3572,-2.1172657,-4.500323,36.697067,-0.3162613,-0.26541138,1.171608,1.2422277
672,1003.0,501.0,998.6337,475.95096,-1.9640143,-4.505022,36.735355,-0.31649733,-0.2654295,1.1720886,1.242745
673,1024.0,501.0,1017.6797,474.45358,-1.8027477,-4.510005,36.775528,-0.31670928,-0.26545238,1.1724434,1.2431384
